ID,Name (English),Full Name (English),URL,Language,Name,Full Name,Familiar-ish Script,Given Name Usually First
0,Alfred,Alfred the Great,https://en.wikipedia.org/wiki/Alfred_the_Great,English,Alfred,Alfred the Great,Yes,Yes
1,Edward,Edward the Elder,https://en.wikipedia.org/wiki/Edward_the_Elder,English,Edward,Edward the Elder,Yes,Yes
2,Ælfweard,Ælfweard of Wessex,https://en.wikipedia.org/wiki/%C3%86lfweard_of_Wessex,English,Ælfweard,Ælfweard of Wessex,Yes,Yes
3,Æthelstan,Æthelstan,https://en.wikipedia.org/wiki/%C3%86thelstan,English,Æthelstan,Æthelstan,Yes,Yes
4,Edmund,Edmund I,https://en.wikipedia.org/wiki/Edmund_I,English,Edmund,Edmund I,Yes,Yes
5,Eadred,Eadred,https://en.wikipedia.org/wiki/Eadred,English,Eadred,Eadred,Yes,Yes
6,Eadwig,Eadwig,https://en.wikipedia.org/wiki/Eadwig,English,Eadwig,Eadwig,Yes,Yes
7,Edgar,Edgar the Peaceful,https://en.wikipedia.org/wiki/Edgar_the_Peaceful,English,Edgar,Edgar the Peaceful,Yes,Yes
8,Edward,Edward the Martyr,https://en.wikipedia.org/wiki/Edward_the_Martyr,English,Edward,Edward the Martyr,Yes,Yes
9,Æthelred,Æthelred the Unready,https://en.wikipedia.org/wiki/%C3%86thelred_the_Unready,English,Æthelred,Æthelred the Unready,Yes,Yes
10,Sweyn,Sweyn Forkbeard,https://en.wikipedia.org/wiki/Sweyn_Forkbeard,English,Sweyn,Sweyn Forkbeard,Yes,Yes
11,Edmund,Edmund Ironside,https://en.wikipedia.org/wiki/Edmund_Ironside,English,Edmund,Edmund Ironside,Yes,Yes
12,Cnut,Cnut the Great,https://en.wikipedia.org/wiki/Cnut_the_Great,English,Cnut,Cnut the Great,Yes,Yes
13,Harold,Harold Harefoot,https://en.wikipedia.org/wiki/Harold_Harefoot,English,Harold,Harold Harefoot,Yes,Yes
14,Harthacnut,Harthacnut,https://en.wikipedia.org/wiki/Harthacnut,English,Harthacnut,Harthacnut,Yes,Yes
15,Edward,Edward the Confessor,https://en.wikipedia.org/wiki/Edward_the_Confessor,English,Edward,Edward the Confessor,Yes,Yes
16,Harold,Harold Godwinson,https://en.wikipedia.org/wiki/Harold_Godwinson,English,Harold,Harold Godwinson,Yes,Yes
17,Edgar,Edgar Ætheling,https://en.wikipedia.org/wiki/Edgar_%C3%86theling,English,Edgar,Edgar Ætheling,Yes,Yes
18,William,William the Conqueror,https://en.wikipedia.org/wiki/William_the_Conqueror,English,William,William the Conqueror,Yes,Yes
19,William,William II of England,https://en.wikipedia.org/wiki/William_II_of_England,English,William,William II of England,Yes,Yes
20,Henry,Henry I of England,https://en.wikipedia.org/wiki/Henry_I_of_England,English,Henry,Henry I of England,Yes,Yes
21,Stephen,Stephen,"https://en.wikipedia.org/wiki/Stephen,_King_of_England",English,Stephen,Stephen,Yes,Yes
22,Empress,Empress Matilda,https://en.wikipedia.org/wiki/Empress_Matilda,English,Empress,Empress Matilda,Yes,Yes
23,Henry,Henry II of England,https://en.wikipedia.org/wiki/Henry_II_of_England,English,Henry,Henry II of England,Yes,Yes
24,Richard,Richard I of England,https://en.wikipedia.org/wiki/Richard_I_of_England,English,Richard,Richard I of England,Yes,Yes
25,John,John,"https://en.wikipedia.org/wiki/John,_King_of_England",English,John,John,Yes,Yes
26,Louis,Louis VIII of France,https://en.wikipedia.org/wiki/Louis_VIII_of_France,English,Louis,Louis VIII of France,Yes,Yes
27,Henry,Henry III of England,https://en.wikipedia.org/wiki/Henry_III_of_England,English,Henry,Henry III of England,Yes,Yes
28,Edward,Edward I of England,https://en.wikipedia.org/wiki/Edward_I_of_England,English,Edward,Edward I of England,Yes,Yes
29,Edward,Edward II of England,https://en.wikipedia.org/wiki/Edward_II_of_England,English,Edward,Edward II of England,Yes,Yes
30,Edward,Edward III of England,https://en.wikipedia.org/wiki/Edward_III_of_England,English,Edward,Edward III of England,Yes,Yes
31,Richard,Richard II of England,https://en.wikipedia.org/wiki/Richard_II_of_England,English,Richard,Richard II of England,Yes,Yes
32,Henry,Henry IV of England,https://en.wikipedia.org/wiki/Henry_IV_of_England,English,Henry,Henry IV of England,Yes,Yes
33,Henry,Henry V of England,https://en.wikipedia.org/wiki/Henry_V_of_England,English,Henry,Henry V of England,Yes,Yes
34,Henry,Henry VI of England,https://en.wikipedia.org/wiki/Henry_VI_of_England,English,Henry,Henry VI of England,Yes,Yes
35,Edward,Edward IV of England,https://en.wikipedia.org/wiki/Edward_IV_of_England,English,Edward,Edward IV of England,Yes,Yes
36,Readeption,Readeption of Henry VI,https://en.wikipedia.org/wiki/Readeption_of_Henry_VI,English,Readeption,Readeption of Henry VI,Yes,Yes
37,Edward,Edward V of England,https://en.wikipedia.org/wiki/Edward_V_of_England,English,Edward,Edward V of England,Yes,Yes
38,Richard,Richard III of England,https://en.wikipedia.org/wiki/Richard_III_of_England,English,Richard,Richard III of England,Yes,Yes
39,Henry,Henry VII of England,https://en.wikipedia.org/wiki/Henry_VII_of_England,English,Henry,Henry VII of England,Yes,Yes
40,Henry,Henry VIII of England,https://en.wikipedia.org/wiki/Henry_VIII_of_England,English,Henry,Henry VIII of England,Yes,Yes
41,Edward,Edward VI of England,https://en.wikipedia.org/wiki/Edward_VI_of_England,English,Edward,Edward VI of England,Yes,Yes
42,Lady,Lady Jane Grey,https://en.wikipedia.org/wiki/Lady_Jane_Grey,English,Lady,Lady Jane Grey,Yes,Yes
43,Mary,Mary I of England,https://en.wikipedia.org/wiki/Mary_I_of_England,English,Mary,Mary I of England,Yes,Yes
44,Jure,Jure uxoris,https://en.wikipedia.org/wiki/Jure_uxoris,English,Jure,Jure uxoris,Yes,Yes
45,Philip,Philip II of Spain,https://en.wikipedia.org/wiki/Philip_II_of_Spain,English,Philip,Philip II of Spain,Yes,Yes
46,Elizabeth,Elizabeth I of England,https://en.wikipedia.org/wiki/Elizabeth_I_of_England,English,Elizabeth,Elizabeth I of England,Yes,Yes
47,James,James VI and I,https://en.wikipedia.org/wiki/James_VI_and_I,English,James,James VI and I,Yes,Yes
48,Charles,Charles I of England,https://en.wikipedia.org/wiki/Charles_I_of_England,English,Charles,Charles I of England,Yes,Yes
49,Oliver,Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,English,Oliver,Oliver Cromwell,Yes,Yes
50,Richard,Richard Cromwell,https://en.wikipedia.org/wiki/Richard_Cromwell,English,Richard,Richard Cromwell,Yes,Yes
51,Cavalier,Cavalier,https://en.wikipedia.org/wiki/Cavalier,English,Cavalier,Cavalier,Yes,Yes
52,Charles,Charles II of England,https://en.wikipedia.org/wiki/Charles_II_of_England,English,Charles,Charles II of England,Yes,Yes
53,James,James II of England,https://en.wikipedia.org/wiki/James_II_of_England,English,James,James II of England,Yes,Yes
54,Glorious,Glorious Revolution,https://en.wikipedia.org/wiki/Glorious_Revolution,English,Glorious,Glorious Revolution,Yes,Yes
55,Mary,Mary II of England,https://en.wikipedia.org/wiki/Mary_II_of_England,English,Mary,Mary II of England,Yes,Yes
56,William,William III of England,https://en.wikipedia.org/wiki/William_III_of_England,English,William,William III of England,Yes,Yes
57,Anne,Anne,"https://en.wikipedia.org/wiki/Anne,_Queen_of_Great_Britain",English,Anne,Anne,Yes,Yes
58,Henry,Henry the Young King,https://en.wikipedia.org/wiki/Henry_the_Young_King,English,Henry,Henry the Young King,Yes,Yes
59,Elizabeth,Elizabeth I,https://en.wikipedia.org/wiki/Elizabeth_I,English,Elizabeth,Elizabeth I,Yes,Yes
60,Kenneth,Kenneth MacAlpin,https://en.wikipedia.org/wiki/Kenneth_MacAlpin,English,Kenneth,Kenneth MacAlpin,Yes,Yes
61,Domnall,Domnall mac Ailpín,https://en.wikipedia.org/wiki/Domnall_mac_Ailp%C3%ADn,English,Domnall,Domnall mac Ailpín,Yes,Yes
62,Causantín,Causantín mac Cináeda,https://en.wikipedia.org/wiki/Causant%C3%ADn_mac_Cin%C3%A1eda,English,Causantín,Causantín mac Cináeda,Yes,Yes
63,Áed,Áed mac Cináeda,https://en.wikipedia.org/wiki/%C3%81ed_mac_Cin%C3%A1eda,English,Áed,Áed mac Cináeda,Yes,Yes
64,Giric,Giric,https://en.wikipedia.org/wiki/Giric,English,Giric,Giric,Yes,Yes
65,Eochaid,Eochaid,"https://en.wikipedia.org/wiki/Eochaid,_son_of_Rhun",English,Eochaid,Eochaid,Yes,Yes
66,Donald,Donald II of Scotland,https://en.wikipedia.org/wiki/Donald_II_of_Scotland,English,Donald,Donald II of Scotland,Yes,Yes
67,Constantine,Constantine II of Scotland,https://en.wikipedia.org/wiki/Constantine_II_of_Scotland,English,Constantine,Constantine II of Scotland,Yes,Yes
68,Malcolm,Malcolm I of Scotland,https://en.wikipedia.org/wiki/Malcolm_I_of_Scotland,English,Malcolm,Malcolm I of Scotland,Yes,Yes
69,Indulf,Indulf,https://en.wikipedia.org/wiki/Indulf,English,Indulf,Indulf,Yes,Yes
70,Dub,Dub,"https://en.wikipedia.org/wiki/Dub,_King_of_Scotland",English,Dub,Dub,Yes,Yes
71,Cuilén,Cuilén,https://en.wikipedia.org/wiki/Cuil%C3%A9n,English,Cuilén,Cuilén,Yes,Yes
72,Amlaíb,Amlaíb,"https://en.wikipedia.org/wiki/Amla%C3%ADb,_King_of_Scotland",English,Amlaíb,Amlaíb,Yes,Yes
73,Kenneth,Kenneth II of Scotland,https://en.wikipedia.org/wiki/Kenneth_II_of_Scotland,English,Kenneth,Kenneth II of Scotland,Yes,Yes
